,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,MontoRetInv,MontoRetMuerte,MontoRetVol,NumPartInv,NumPartMuertos,NumPartRet,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPenInv,PagoPrimPenRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,488593241.77,29386378.5475,1676255.76029,2.92123895764e-29,0.0,190264620.454,1706577.28336,0.0,520665246.953,14311497.2337,163051131.8,1.0,0.0,3523184.06072,536454537.233,0.0,0.0,0.0,0.0,2.0,0.0,366.0,19.0,581999573.391,9913763.82848,353315752.253,0.0,0.0,0.0,15789290.2799,4397733.40524,0.0,559136360.343,1.17538159985e+11,9838450366.96,29386378.5475,21.0
0,512270723.339,30778006.8958,3.75598217195e-30,3.59204037126e-28,728931.85839,0.0,1819276.58894,46685705.3643,683125731.006,9436641.57134,783463847.024,1.0,47992518.2914,5111882.50262,704104942.02,0.0,0.0,0.0,4.0,6.0,0.0,410.0,39.0,610167112.624,10165573.4297,376751724.419,0.0,0.0,1306812.92717,20979211.0135,0.0,406712122.605,609017958.129,1.23604188658e+11,10361343098.4,30778006.8958,22.0
0,521835529.186,31405985.7819,4.73148083679e-31,1.37132877443e-28,0.0,0.0,1804227.63148,5020098.60142,586692521.539,11914492.5447,423999355.334,1.0,5177279.16232,1005563.51109,604624287.463,0.0,0.0,0.0,1.0,1.0,0.0,355.0,39.0,621619679.739,11763784.9704,405377368.867,0.0,0.0,157180.560906,17931765.9237,150707.574384,18621986.4661,603355336.64,1.3078179262e+11,11040297062.5,31405985.7819,23.0
0,525450302.416,31556852.1612,2.97720069732e-26,2.61764068088e-29,0.0,0.0,1879791.75948,15744636.5299,636141522.946,16748064.1114,535479001.908,1.0,16186103.0698,2007791.41055,655603712.08,0.0,0.0,0.0,1.0,4.0,0.0,375.0,45.0,625850735.481,12221164.1996,430488427.367,0.0,0.0,441466.539864,19462189.134,4526899.9119,104990574.541,629208684.958,1.37083176837e+11,11603933018.7,31556852.1612,24.0
0,548296014.677,32956875.0664,1163386.12034,1075858367.01,771313.395118,0.0,1936442.39974,0.0,675027614.374,12212948.1651,2254788528.77,1.0,0.0,2006727.025,695628490.053,0.0,0.0,0.0,0.0,2.0,0.0,377.0,40.0,653093134.543,12984261.5602,457188672.55,0.0,0.0,0.0,20600875.6789,0.0,1797599856.22,648982990.835,1.43741401846e+11,12185314264.4,32956875.0664,25.0
0,554204618.713,33301199.4128,4.37364342386e-30,4.0115220014e-29,101893.124213,334489474.024,1968402.98256,86689637.8109,838452915.539,13212168.6796,148738495.552,1.0,89345597.0426,2359043.91902,864652939.584,0.0,0.0,0.0,3.0,3.0,0.0,421.0,45.0,660118896.77,13314061.8038,483227969.576,0.0,0.0,2655959.23171,26200024.0449,0.0,0.0,684080149.99,1.51136701335e+11,12791311550.9,33301199.4128,26.0
0,547555863.103,32998917.2226,1308871.39477,1.5071460577e-25,410454.873043,0.0,1852156.26776,0.0,627898080.553,15879852.5393,878577469.645,1.0,0.0,8012486.05864,647224347.381,0.0,0.0,0.0,0.0,6.0,0.0,395.0,43.0,652308741.939,16290307.4123,519096220.086,0.0,0.0,0.0,19326266.8283,0.0,359481249.559,612707093.808,1.58839213092e+11,13518902784.8,32998917.2226,27.0
0,568682858.625,34268460.4688,3.16112448774e-30,56567009.703,1342004.54729,0.0,1926092.41105,19921391.6766,583033004.59,15362076.6733,881436654.755,1.0,20471045.4336,601115.941762,600695594.379,0.0,0.0,0.0,1.0,1.0,0.0,359.0,48.0,677473392.24,16704081.2206,549527402.685,0.0,0.0,549653.757003,17662589.7886,0.0,331909252.07,628754013.873,1.6533914305e+11,14104560750.7,34268460.4688,28.0
0,584106469.094,35105481.5223,1.67652533889e-30,6.16817593378e-28,0.0,438569761.648,2065347.92043,51377101.275,753480809.039,19158823.9637,141022939.684,1.0,52836958.0441,1833388.05462,776509936.029,0.0,0.0,0.0,5.0,3.0,0.0,386.0,44.0,695743764.738,17691979.846,579592701.332,0.0,0.0,1459856.76915,23029126.9898,1466844.11767,0.0,690263961.932,1.71900744083e+11,14648370684.5,35105481.5223,29.0
0,589599720.818,35453147.7489,2242803.07412,1.31116292748e-26,2155369.22531,0.0,2068803.98189,0.0,710428277.653,17161727.2068,1629160524.7,1.0,0.0,2989454.48258,732238977.666,0.0,0.0,0.0,0.0,2.0,0.0,372.0,57.0,702306593.896,19317096.4321,614148062.427,0.0,0.0,0.0,21810700.0125,0.0,1015012462.28,686174575.47,1.79900060208e+11,15380222777.1,35453147.7489,30.0
