,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,NumPartInv,NumPartMuertos,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,231642759.156,13962644.1241,1.09708304801e-29,4.89528319885e-29,0.0,0.0,780873.941573,10878359.016,303840317.379,9883024.98183,327375620.103,2.0,11212465.3553,0.0,313152782.126,1.0,0.0,164.0,29.0,275961127.281,8646735.31121,209790194.459,334106.339267,9312464.74665,1236289.67062,117585425.644,253957769.286,70808253325.2,5414621348.67,13962644.1241,24.0
0,227810767.146,13729024.5718,3.72036596943e-30,2.76022309818e-28,881993.493911,0.0,770206.02415,6119822.68149,285167239.203,8326961.53449,373497207.534,2.0,6297373.1214,189291.765047,293823354.597,1.0,1.0,135.0,21.0,271393024.402,9208955.0284,222749237.769,177550.439908,8656115.39353,0.0,150747969.765,247439328.58,73641354895.8,5702349167.52,13729024.5718,25.0
0,237976859.738,14364290.8037,2.75345617972e-30,4.37881475143e-29,0.0,58440580.0592,783785.474318,10951214.6255,262475082.916,10369751.9228,176157523.263,2.0,11253371.0391,1316765.32638,270435953.01,1.0,2.0,148.0,44.0,283529382.631,9624922.7072,234598103.322,302156.413586,7960870.0941,744829.215602,0.0,252982931.212,76389429970.2,5952210212.12,14364290.8037,26.0
0,247872878.372,14951753.5496,0.00897207386145,1.54587488445e-23,837350.22225,17979107.1254,825991.438727,0.0,254981164.988,9341876.70821,230011827.019,2.0,0.0,0.0,262680533.647,0.0,0.0,150.0,22.0,295308575.193,10179226.9305,247990934.144,0.0,7699368.65856,0.0,0.0,270311076.848,78819203591.6,6174177321.1,14951753.5496,27.0
0,261547131.634,15755891.6711,81851.6749786,7.02621167232e-29,0.0,0.0,891053.365672,0.0,283395458.047,10807110.8804,606606691.438,2.0,0.0,1799829.25252,292024513.742,0.0,1.0,145.0,30.0,311576430.68,8849308.69013,260721025.236,0.0,8629055.69526,1957802.19031,345885666.203,296725415.923,81744217544.7,6418629672.08,15755891.6711,28.0
0,273736924.912,16476468.2402,9.77182912352e-31,2.81108049442e-28,0.0,102092229.156,945082.836393,25451063.5198,306017523.647,10400899.0457,172220371.878,2.0,26168547.1227,1756289.2954,315276812.286,2.0,1.0,144.0,34.0,326082464.216,9074081.13086,274312601.034,717483.602833,9259288.63845,1326817.91487,0.0,309859504.254,84884316334.3,6682963726.89,16476468.2402,29.0
0,277451573.459,16669912.4405,8.06002933357e-31,2.87997971844e-29,0.0,0.0,986735.29782,8882433.34016,338920444.155,11007527.0626,498136965.311,2.0,9127509.73522,2068239.55836,349353046.655,1.0,1.0,158.0,36.0,330473579.662,10040270.4779,287725729.31,245076.395063,10432602.4996,967256.584643,210411236.001,329188920.341,88188635736.2,6957905467.27,16669912.4405,30.0
0,280233245.728,16828467.7887,92236.9949462,3.52200457038e-26,0.0,0.0,1004647.25792,0.0,324985915.578,11149440.257,894435798.508,2.0,0.0,13644599.853,335250640.601,0.0,2.0,140.0,39.0,333777206.199,9008810.13338,302597889.476,0.0,10264725.0237,2140630.12366,591837909.031,336370867.301,91313485667.2,7247129722.52,16828467.7887,31.0
0,290489587.581,17449903.9625,110126.207459,4.29036848444e-26,0.0,0.0,1034939.02251,0.0,330668081.48,11723134.7812,421542839.079,2.0,0.0,407244.966275,340668555.327,0.0,1.0,152.0,44.0,345999428.701,9237633.91077,319380485.144,0.0,10000473.8465,2485500.87042,102162353.935,341024285.844,93803367241.7,7515265061.03,17449903.9625,32.0
0,297399922.075,17843373.7949,133471.639112,1.34247130062e-29,0.0,0.0,1080268.17477,0.0,319440689.71,12089177.4036,378156998.751,2.0,0.0,918520.814548,329164368.299,0.0,2.0,145.0,45.0,354205950.415,9324827.90321,335203534.412,0.0,9723678.58945,2764349.50044,42953464.3391,370580788.011,97125822004.1,7824042694.11,17843373.7949,33.0
