,AP,BI,CPInv,CPRet,CRNInv,CRNRet,ComRend,InDispInv,InDispRet,InVencInv,InVencRet,Life,MontoInv,MontoMuerte,MontoRet,NumPartInv,NumPartMuertos,NumPartVol,NumRetMuertos,PT,PagoAntInv,PagoAntRet,PagoPrimPensionInv,PagoPrimPensionRet,R0Inv,R0Ret,VLR,VMI,VMR,VRCI,Year
0,264306989.051,15855827.034,5.80828247369e-31,7.58956078644e-27,0.0,0.0,961490.503656,89294627.9831,370179091.694,15997888.9336,515446638.503,1.0,91816724.5158,6666851.58005,381630068.163,3.0,2.0,161.0,27.0,314789680.994,13145906.6613,221493000.404,2522096.53275,11450976.4687,2851982.27237,293953638.099,318694122.658,69613727882.0,5742361691.49,15855827.034,24.0
0,263133444.57,15813013.2927,5.32881191732e-30,7.70838716855e-29,2386198.64846,0.0,931155.425749,6670046.29275,349572978.194,13679771.8267,400025811.879,1.0,6860191.41662,0.0,360330079.842,1.0,0.0,176.0,22.0,313422986.362,16065970.4751,238105072.061,190145.123877,10757101.6476,0.0,161920739.818,308171200.221,73053026348.4,6107761801.8,15813013.2927,25.0
0,261123796.781,15695775.4091,2161716.02261,1.86568056394e-29,0.0,225120006.177,920627.070835,0.0,279544291.725,24106518.4237,29110834.4427,1.0,0.0,1840029.70763,288040687.681,0.0,2.0,146.0,31.0,311033227.18,16669020.9352,254230840.62,0.0,8496395.95606,7437497.48843,0.0,308755239.43,76947033903.2,6457814262.79,15695775.4091,26.0
0,268976033.859,16137405.2537,2278188.20348,1.41985519229e-28,957624.416119,0.0,976320.796135,0.0,316304954.647,16134789.6509,666187811.872,1.0,0.0,0.0,326019817.809,0.0,0.0,145.0,31.0,320352178.778,17092414.067,268510916.643,0.0,9714863.16173,0.0,397676895.229,335428559.628,79927574882.7,6730428707.07,16137405.2537,27.0
0,267669729.54,16024443.8097,2.51792484982e-28,47031389.0744,617795.828325,0.0,1004395.63363,46801564.2935,359186592.931,16908765.556,662399434.388,1.0,48092872.4544,1078662.94965,370183231.708,1.0,1.0,163.0,38.0,318757498.145,17526561.3843,281143188.415,1291308.16085,10996638.7776,0.0,381256245.973,342684208.412,83099588978.9,7040127199.54,16024443.8097,28.0
0,273790678.94,16419753.5524,1930616.67064,1.54956948776e-28,0.0,251915394.086,1001208.40921,0.0,348449754.734,19426035.6003,45768564.4645,1.0,0.0,0.0,359382885.472,0.0,0.0,144.0,30.0,326079137.632,19295843.4316,297683958.551,0.0,10933130.7377,130192.168694,0.0,345522929.646,86354900861.2,7321238464.15,16419753.5524,29.0
0,287029235.816,17246103.4451,549829.132289,93827684.7834,769785.986891,0.0,1019279.07984,0.0,306461413.225,16968022.2669,935945904.229,1.0,0.0,0.0,315756903.943,0.0,0.0,146.0,37.0,341882403.664,17737808.2538,314716810.846,0.0,9295490.71853,0.0,621229093.383,345975841.523,89320915614.3,7635283530.46,17246103.4451,30.0
0,296695372.727,17793622.9826,1732.42473316,1.26686887684e-28,0.0,3869048.8945,1084438.01709,0.0,378275594.809,21063555.2429,325725489.802,1.0,0.0,0.0,389908824.598,0.0,0.0,153.0,42.0,353358422.145,18188348.5834,329594538.697,0.0,11633229.7888,2875206.65943,0.0,365269445.903,92693862972.2,7910012014.14,17793622.9826,31.0
0,302029635.916,18123901.994,2.83899284668e-30,4.96294088148e-26,146696.56577,118764343.324,1095865.04188,14174227.5138,370113575.027,18503636.0717,229403419.682,1.0,14578296.7103,4090374.83057,381526274.427,1.0,1.0,156.0,47.0,359723076.303,18650332.6375,348167763.006,404069.196551,11412699.4004,0.0,0.0,357656991.018,95808484546.6,8244786825.79,18123901.994,32.0
0,308874454.3,18538427.9401,1751023.64993,3.39910382648e-30,0.0,0.0,1117744.19563,0.0,382215085.457,34870263.4196,978539366.753,1.0,0.0,1911801.51384,393843256.42,0.0,1.0,156.0,59.0,367879642.966,19419655.7253,365525249.121,0.0,11628170.9626,15450607.6944,613014117.633,380000078.115,99251641044.5,8584825724.96,18538427.9401,33.0
0,300968460.146,18025358.1818,6.85095521829e-28,228308396.908,1301571.42717,0.0,1125917.77582,10728264.7936,452794774.598,18611343.5535,958283069.613,1.0,11039516.9708,1871127.78975,467326411.712,1.0,2.0,151.0,50.0,358420020.593,19912914.9807,384495134.233,311252.177177,14531637.1144,0.0,573787935.38,427418112.459,1.02836598607e+11,8913591977.46,18025358.1818,34.0
0,317009352.024,19090492.2856,332461.038478,5.0616833109e-29,0.0,340733258.29,1085581.46724,0.0,436216695.363,21122809.2056,65295781.8884,1.0,0.0,2750457.80385,449690754.607,0.0,1.0,161.0,57.0,377640274.505,20737861.0037,406029040.179,0.0,13474059.2443,384948.201881,0.0,363627299.436,1.06263350506e+11,9334555676.64,19090492.2856,35.0
0,315434444.426,19022654.5898,680351.258229,2.27044320636e-29,1082038.267,0.0,1055023.11433,0.0,310579830.088,19518031.3968,743128013.971,1.0,0.0,0.0,319939552.313,0.0,0.0,161.0,55.0,375794493.276,20600069.6638,425739986.835,0.0,9359722.22501,0.0,317388027.136,337186741.492,1.10055795618e+11,9718610773.29,19022654.5898,36.0
0,334227938.233,20119242.6316,4.24310062345e-30,1.81973353273e-27,0.0,0.0,1151603.09254,38298253.7291,444358363.449,21476137.9195,1139733814.97,1.0,39354945.9216,1265004.34714,458029622.754,1.0,2.0,142.0,59.0,398142899.848,21123311.4333,442002842.654,1056692.19252,13671259.3054,352826.486219,697730972.319,384020316.927,1.13170396668e+11,9943299468.08,20119242.6316,37.0
0,352443625.779,21283943.6939,425644.742744,7.34531383911e-27,892788.411577,314880151.972,1152150.55179,0.0,362144332.461,21850587.3063,145273562.211,1.0,0.0,3800814.22591,373207790.889,0.0,2.0,142.0,66.0,419918617.385,22743375.7179,460153714.184,0.0,11063458.4282,0.0,0.0,365373050.795,1.16526530786e+11,10311306698.8,21283943.6939,38.0
0,380721018.634,22988562.3824,139415.012586,3.65411151371e-29,772874.382798,0.0,1247437.1304,0.0,455303846.686,22548183.0783,1791069971.81,1.0,0.0,3282702.49218,469124638.064,0.0,2.0,168.0,87.0,453606270.805,23321057.4611,475136770.347,0.0,13820791.378,0.0,1315933201.46,412216455.25,1.19388840582e+11,10525112765.8,22988562.3824,39.0
0,372605533.081,22455171.4697,74591.9912464,1.40000434357e-24,0.0,116231304.123,1261683.39352,0.0,524292404.863,22783778.3467,379474212.094,1.0,0.0,14239839.4846,540427171.826,0.0,4.0,169.0,81.0,443888432.08,16400366.7004,495705516.216,0.0,16134766.9626,6383411.64635,0.0,415766885.111,1.23272639631e+11,10837013625.8,22455171.4697,40.0
0,369333074.219,22308499.2085,4.80162860649e-30,1.43955454753e-28,0.0,0.0,1203811.99468,24870666.8075,369483897.163,75343339.9795,717266435.579,1.0,25619600.3057,3708696.48634,380621113.494,1.0,1.0,158.0,76.0,440046711.717,16816936.0146,518640904.939,748933.498265,11137216.3311,58526403.9649,198625530.64,380498239.466,1.2751051521e+11,11268265713.2,22308499.2085,41.0
0,362974074.412,21817561.4951,2.35575238185e-28,281310883.63,0.0,0.0,1281758.20256,43593933.06,385664699.842,27908752.4143,2233263280.05,1.0,44858695.5204,356265.046751,397198400.366,1.0,1.0,150.0,104.0,432350152.705,18012042.5984,533139057.296,1264762.46044,11533700.5249,9896709.81585,1700124222.76,415664967.92,1.30989811365e+11,11518449660.9,21817561.4951,42.0
0,378775508.509,22734443.0556,64814633.5143,1755212160.91,0.0,0.0,1368142.49275,0.0,519130512.252,974103828.479,2351744844.23,1.0,0.0,3281151.75212,535224535.083,0.0,1.0,165.0,86.0,451134777.039,19766435.9074,552026594.879,0.0,16094022.8302,954337392.572,1799718249.35,465888378.114,1.33976453877e+11,11743866700.0,22734443.0556,43.0
0,391124118.34,23541368.4672,4450113.5775,2.87553432545e-29,0.0,418849464.053,1351287.2537,0.0,525661123.452,93284446.2573,154141952.464,1.0,0.0,5657584.31271,541941961.305,0.0,2.0,150.0,79.0,465916277.312,20268503.3794,572991416.517,0.0,16280837.8532,73015942.8779,0.0,456599737.627,1.37723708511e+11,12165882533.0,23541368.4672,44.0
0,402028722.389,24256697.1699,2.8970421352e-28,5.26424037259e-15,0.0,0.0,1334635.41461,0.0,479053831.869,28481784.6361,974334779.691,1.0,0.0,526445.943668,493563109.346,0.0,1.0,161.0,96.0,478972381.527,20783323.3653,593089069.171,0.0,14509277.4772,7698461.27085,381245710.52,438415327.843,1.41554064908e+11,12539167237.8,24256697.1699,45.0
0,411326240.687,24812610.98,1.26080620362e-29,1.31800345472e-28,0.0,13985002.4342,1370445.74388,58479574.345,465898914.644,23489987.2261,596874839.899,1.0,60209445.5047,3062782.53289,480028388.969,2.0,1.0,161.0,83.0,490043653.558,21028097.3539,610859842.333,1729871.15967,14129474.3248,2461889.87219,0.0,448220132.965,1.45656421664e+11,12829923527.1,24812610.98,46.0
0,427309441.042,25768249.0451,3.03221431887e-30,4.60554735401e-29,0.0,0.0,1432228.06411,28781020.5318,451705001.621,24257071.6045,827265187.864,1.0,29588016.4585,11854086.9323,465352635.809,1.0,2.0,147.0,94.0,509076056.277,23079247.0809,632788769.053,806995.926759,13647634.1886,1177824.52366,194476418.812,466173882.769,1.4982950681e+11,13102602657.6,25768249.0451,47.0
0,462315230.212,27898074.7105,2.04656781623e-24,8.28728747698,1980749.41356,0.0,1533971.15148,54575883.4832,622556891.499,22512204.1665,1716035797.85,1.0,56106145.9568,1140324.86988,641846969.461,2.0,1.0,145.0,97.0,550801466.205,24492953.58,645337017.882,1530262.47355,19290077.9617,0.0,1070698779.97,508953438.768,1.53970800767e+11,13389501504.1,27898074.7105,48.0
0,480424728.14,29071518.1426,5.5880657445e-29,69641319.1621,0.0,570293345.536,1517370.61821,59857358.865,464656084.182,53748429.5175,95910700.6832,1.0,61637781.9988,543577.957838,478672902.544,2.0,1.0,156.0,110.0,572467692.453,24340394.2902,666204046.219,1780423.13379,14016818.3625,29408035.2273,0.0,496601936.666,1.59009349467e+11,13772467577.7,29071518.1426,49.0
0,505170457.382,30500084.1652,6625034.43229,5.43396041164e-29,3020474.9035,0.0,1660903.6287,0.0,544130523.883,23763811.2831,7856134500.75,1.0,0.0,3237937.21672,561228568.887,0.0,1.0,140.0,101.0,601877012.974,26784286.1866,687607566.391,0.0,17098045.0039,0.0,7168526934.35,564908456.933,1.62828828909e+11,13966174563.8,30500084.1652,50.0
0,296400521.356,16589838.4204,-2.37366872274e-15,2.96726006313e-06,0.0,0.0,253861.118531,0.0,101290300.365,0.0,0.0,2.0,0.0,403901.419615,104513016.575,0.0,2.0,419.0,0.0,351674561.547,0.0,0.0,0.0,3222716.21012,0.0,0.0,91835409.4789,0.0,0.0,16589838.4204,0.0
0,238756832.131,13400330.4492,6.04924493397e-11,7.55835606903e-31,9.165006753e-16,0.0,388786.879597,1777851.14273,157337153.012,-9.165006753e-16,6896547.60719,2.0,1843925.80099,468893.337644,162369426.018,1.0,2.0,317.0,1.0,283322654.584,0.0,3300704.5087,66074.6582573,5032273.0059,0.0,3595843.09849,143474430.946,5260019720.73,104513016.575,13400330.4492,1.0
0,190936342.985,10730066.8714,-2.61516540537e-11,7.44724762515e-30,0.0,0.0,443933.26656,2293892.70809,181924488.666,202931.681524,9623416.91879,2.0,2364344.88698,2767408.68224,188027190.462,1.0,2.0,263.0,1.0,226591471.749,67752.954577,8532059.88531,70452.1788848,6102701.79605,135178.726947,1091357.03348,183978008.382,9398891927.34,267344732.71,10730066.8714,2.0
0,153769711.973,8796065.90071,2.44981001054e-09,1.45911211312e-30,0.0,803646.433756,447711.779169,24975694.5935,182233641.84,298211.498163,14198599.0868,2.0,25824183.8638,0.0,188283276.534,1.0,0.0,178.0,1.0,182658177.386,141715.543852,15002245.5206,848489.270274,6049634.69414,156495.954311,0.0,182020161.361,12557715262.1,456469488.997,8796065.90071,3.0
0,112160145.574,6440105.69176,5.17541138262e-09,3.24167107811e-30,0.0,0.0,418305.495536,5187222.85609,167740168.586,2095351.27363,21572701.045,2.0,5356390.06208,719210.85006,173219808.484,1.0,1.0,116.0,2.0,133258709.287,1015356.0164,21540047.0125,169167.205984,5479639.89796,1079995.25722,32654.0324358,155779536.555,15180009020.0,646801542.231,6440105.69176,4.0
